TransactionID,CustomerID,Quantity,Price,Discount,CategoryID,StoreRegion
1,83811,15,42.39,0.10,16,South
2,18290,95,158.23,0.25,35,North
3,77398,55,52.52,0.00,14,South
4,66238,78,44.67,0.05,46,Central
5,54988,29,676.57,0.10,1,South
6,91507,55,513.67,0.05,14,East
7,13397,12,572.99,0.10,23,Central
8,34672,6,1095.95,0.20,8,West
9,10329,71,443.30,0.25,40,East
10,75675,25,1058.33,0.00,43,South
11,37931,11,1283.70,0.30,7,West
12,36435,59,955.35,0.10,11,East
13,46567,27,1006.91,0.25,44,North
14,79841,82,260.85,0.25,16,South
15,60590,49,408.57,0.25,45,Central
16,28786,88,489.80,0.30,50,North
17,30022,5,1208.54,0.15,18,North
18,27654,73,1315.17,0.10,14,West
19,51857,83,690.98,0.10,9,South
20,97648,72,810.77,0.25,38,West
21,76485,52,546.18,0.05,33,West
22,11916,97,75.44,0.00,10,South
23,89193,55,896.63,0.15,25,Central
24,61349,68,380.86,0.20,1,North
25,89354,69,1127.56,0.30,42,East
26,14622,38,654.97,0.15,1,East
27,65613,98,272.08,0.00,41,East
28,83749,65,915.41,0.05,24,South
29,70698,100,1384.04,0.00,39,East
30,64043,3,172.24,0.10,20,South
31,7593,31,1317.62,0.00,6,West
32,9072,98,801.40,0.05,9,West
33,72064,22,401.26,0.30,39,West
34,27761,70,1134.12,0.25,13,East
35,52297,86,976.57,0.15,34,West
36,15861,32,340.92,0.10,2,Central
37,72604,30,884.72,0.00,5,North
38,30008,9,1358.60,0.30,22,North
39,67392,31,421.32,0.15,14,Central
40,17343,93,1403.59,0.20,37,West
41,31851,61,1212.21,0.05,7,North
42,86375,56,534.67,0.15,30,North
43,88260,84,1476.33,0.00,4,West
44,95449,44,1201.89,0.00,16,South
45,24932,69,675.68,0.15,12,East
46,60638,32,1312.36,0.00,29,Central
47,12834,7,979.96,0.20,1,North
48,98772,31,253.64,0.15,31,South
49,52566,8,251.13,0.00,25,East
50,59639,37,637.40,0.25,36,West
51,20290,25,448.58,0.00,38,Central
52,7990,96,473.84,0.00,38,West
53,65910,68,240.36,0.20,6,South
54,8982,77,106.60,0.30,16,West
55,15714,73,373.09,0.20,3,Central
56,10746,54,987.77,0.20,34,East
57,34180,27,1006.24,0.10,16,East
58,51877,17,1009.18,0.10,30,East
59,98549,10,18.93,0.20,37,North
60,9603,69,323.67,0.10,9,East
61,9017,32,557.44,0.05,29,Central
62,92215,39,919.46,0.30,42,Central
63,1026,86,1226.57,0.10,43,North
64,17602,34,177.57,0.00,48,Central
65,20375,35,426.23,0.05,46,East
66,26686,88,953.19,0.10,33,West
67,32915,7,142.99,0.15,18,North
68,465,43,1157.82,0.25,17,South
69,97155,57,829.76,0.15,36,North
70,14664,10,1417.85,0.25,10,Central
71,4723,48,875.85,0.05,28,South
72,5483,40,550.15,0.30,3,East
73,27536,88,378.05,0.00,23,Central
74,53265,80,1125.47,0.05,11,South
75,54041,4,273.14,0.10,27,South
76,34971,21,1182.12,0.00,25,North
77,61695,29,303.36,0.15,23,East
78,29832,29,40.38,0.05,26,East
79,36518,9,1450.50,0.10,23,Central
80,52387,87,1471.82,0.20,22,North
81,15119,34,271.96,0.10,3,North
82,78194,56,521.80,0.30,21,West
83,79458,66,177.89,0.20,13,East
84,5818,91,656.91,0.20,35,South
85,47740,56,109.61,0.25,22,Central
86,41146,85,1272.78,0.25,20,Central
87,40539,86,615.55,0.15,45,East
88,72668,17,291.80,0.25,25,South
89,80677,73,454.92,0.20,1,East
90,37607,27,647.68,0.20,39,East
91,60947,57,666.03,0.05,33,West
92,96464,22,989.98,0.10,33,Central
93,43934,12,1228.54,0.30,16,East
94,29445,26,225.29,0.00,16,West
95,80121,99,113.88,0.15,41,Central
96,25486,92,1046.05,0.15,26,South
97,19343,84,1033.00,0.30,50,North
98,55725,29,267.95,0.25,34,West
99,6583,72,377.55,0.30,8,West
100,17478,60,1003.03,0.20,39,East
101,98993,57,920.92,0.25,33,West
102,71811,58,1346.33,0.25,31,West
103,33973,97,374.62,0.25,18,Central
104,63518,81,362.67,0.15,5,East
105,30736,35,507.09,0.20,6,South
106,19770,30,577.64,0.05,46,South
107,8419,54,614.36,0.20,30,West
108,8162,27,1250.17,0.15,50,Central
109,91164,3,1285.81,0.30,37,West
110,62519,1,1414.40,0.10,49,West
111,54922,69,1122.54,0.20,39,South
112,63994,29,413.04,0.15,2,West
113,44058,86,1020.32,0.15,47,South
114,61262,17,1471.18,0.20,2,West
115,77581,73,996.18,0.00,42,West
116,17787,60,276.68,0.10,25,East
117,27743,59,493.63,0.30,25,East
118,98568,54,382.15,0.00,31,North
119,98177,70,82.87,0.10,15,North
120,85427,6,1132.58,0.05,13,North
121,81440,20,361.62,0.15,43,North
122,73921,28,700.23,0.10,50,East
123,21993,78,912.84,0.25,46,North
124,21466,40,166.61,0.00,20,Central
125,88782,49,598.00,0.25,13,North
126,77608,89,1246.70,0.05,7,East
127,89688,77,1209.26,0.30,37,North
128,45509,69,645.43,0.10,5,Central
129,84875,44,23.91,0.15,32,North
130,56823,47,955.20,0.30,30,South
131,57081,23,1102.02,0.25,18,Central
132,70540,100,727.83,0.15,47,Central
133,35180,42,1278.31,0.30,6,East
134,59088,32,1126.96,0.20,40,West
135,44093,4,743.99,0.10,12,West
136,27803,46,1197.76,0.10,18,Central
137,91906,36,835.91,0.20,13,North
138,31636,93,612.61,0.20,49,South
139,90520,61,970.62,0.15,29,North
140,12197,38,336.29,0.25,16,East
141,87027,75,556.69,0.20,34,East
142,55772,96,827.83,0.10,45,West
143,35510,40,380.85,0.00,47,South
144,41360,16,1115.61,0.30,45,South
145,25106,28,1109.21,0.10,47,Central
146,99642,68,897.20,0.00,13,East
147,29817,47,273.27,0.00,46,Central
148,16592,36,73.05,0.00,36,East
149,91412,17,958.62,0.30,32,North
150,1608,74,430.09,0.15,29,East
151,24165,7,382.46,0.30,31,North
152,8565,52,740.16,0.20,41,North
153,19888,20,1217.66,0.10,6,South
154,15526,72,1147.84,0.20,39,Central
155,29582,100,786.25,0.15,29,East
156,77140,55,461.54,0.20,4,Central
157,97005,13,1421.65,0.05,41,South
158,34688,85,126.38,0.05,12,Central
159,9839,21,9.00,0.15,45,Central
160,61593,38,53.80,0.10,46,East
161,92142,59,111.41,0.05,17,Central
162,86663,26,640.58,0.20,15,South
163,34817,19,111.76,0.05,20,Central
164,98168,73,1382.18,0.15,8,West
165,90267,39,1051.10,0.10,33,Central
166,64723,57,125.26,0.00,28,East
167,79130,33,43.67,0.05,44,Central
168,76956,3,1499.36,0.25,18,Central
169,5274,98,1135.62,0.15,34,West
170,36459,24,1495.43,0.15,41,West
171,11960,61,525.20,0.10,21,North
172,21080,43,620.41,0.15,19,West
173,99681,71,59.86,0.00,21,East
174,42373,15,1455.43,0.15,33,North
175,86201,70,695.65,0.00,13,Central
176,47420,80,1135.88,0.25,29,North
177,26681,35,826.08,0.10,29,West
178,15916,4,1459.85,0.20,16,South
179,40731,71,25.44,0.15,6,South
180,14872,60,1420.86,0.25,10,West
181,93927,38,765.76,0.10,27,West
182,61895,32,687.90,0.05,25,South
183,78562,66,1120.71,0.05,5,East
184,54388,44,1401.70,0.20,18,North
185,37073,93,451.34,0.20,38,West
186,19477,58,810.18,0.10,22,Central
187,99992,70,568.93,0.10,13,South
188,74947,50,354.18,0.30,27,North
189,41705,96,712.10,0.30,25,West
190,86992,84,1471.32,0.15,3,South
191,65837,76,501.33,0.00,29,North
192,68938,59,27.94,0.05,27,South
193,9808,61,1173.38,0.10,22,Central
194,90795,51,976.51,0.30,22,Central
195,49809,41,942.06,0.30,32,Central
196,4706,80,107.29,0.25,44,East
197,29818,96,140.12,0.00,49,North
198,58154,22,1042.53,0.00,3,East
199,7356,38,540.90,0.15,10,South
200,69622,53,851.06,0.30,12,South
201,22947,11,916.19,0.15,40,South
202,65231,75,218.96,0.15,41,East
203,60237,33,1001.93,0.30,30,East
204,88816,70,241.17,0.15,23,Central
205,39211,82,1443.23,0.25,17,West
206,39600,26,1499.06,0.30,31,North
207,31092,49,860.02,0.20,19,East
208,2876,85,596.73,0.00,37,North
209,79483,96,747.61,0.10,50,South
210,79570,46,332.41,0.05,40,East
